time,01JP301D01,01JP301D05
2022-04-18 00:00:20+00:00,,0.0
2022-04-18 00:00:49+00:00,0.0,0.0
2022-04-18 00:01:18+00:00,,0.0
2022-04-18 00:01:47+00:00,,0.0
2022-04-18 00:01:48+00:00,0.0,
2022-04-18 00:02:16+00:00,,0.0
2022-04-18 00:02:45+00:00,,0.0
2022-04-18 00:02:47+00:00,0.0,
2022-04-18 00:03:14+00:00,,0.0
2022-04-18 00:03:43+00:00,,0.0
2022-04-18 00:03:46+00:00,0.0,
2022-04-18 00:04:12+00:00,,0.0
2022-04-18 00:04:41+00:00,,0.0
2022-04-18 00:04:45+00:00,0.0,
2022-04-18 00:05:10+00:00,,0.0
2022-04-18 00:05:39+00:00,,0.0
2022-04-18 00:05:44+00:00,0.0,
2022-04-18 00:06:08+00:00,,0.0
2022-04-18 00:06:37+00:00,,0.0
2022-04-18 00:06:43+00:00,0.0,
2022-04-18 00:07:06+00:00,,0.0
2022-04-18 00:07:35+00:00,,0.0
2022-04-18 00:07:42+00:00,0.0,
2022-04-18 00:08:04+00:00,,0.0
2022-04-18 00:08:33+00:00,,0.0
2022-04-18 00:08:41+00:00,0.0,
2022-04-18 00:09:02+00:00,,0.0
2022-04-18 00:09:31+00:00,,0.0
2022-04-18 00:09:40+00:00,0.0,
2022-04-18 00:10:00+00:00,,0.0
2022-04-18 00:10:29+00:00,,0.0
2022-04-18 00:10:39+00:00,0.0,
2022-04-18 00:10:58+00:00,,0.0
2022-04-18 00:11:27+00:00,,0.0
2022-04-18 00:11:38+00:00,0.0,
2022-04-18 00:11:56+00:00,,0.0
2022-04-18 00:12:25+00:00,,0.0
2022-04-18 00:12:37+00:00,0.0,
2022-04-18 00:12:54+00:00,,0.0
2022-04-18 00:13:23+00:00,,0.0
2022-04-18 00:13:36+00:00,0.0,
2022-04-18 00:13:52+00:00,,0.0
2022-04-18 00:14:21+00:00,,0.0
2022-04-18 00:14:35+00:00,0.0,
2022-04-18 00:14:50+00:00,,0.0
2022-04-18 00:15:19+00:00,,0.0
2022-04-18 00:15:34+00:00,0.0,
2022-04-18 00:15:48+00:00,,0.0
2022-04-18 00:16:17+00:00,,0.0
2022-04-18 00:16:33+00:00,0.0,
2022-04-18 00:16:46+00:00,,0.0
2022-04-18 00:17:15+00:00,,0.0
2022-04-18 00:17:32+00:00,0.0,
2022-04-18 00:17:44+00:00,,0.0
2022-04-18 00:18:13+00:00,,0.0
2022-04-18 00:18:31+00:00,0.0,
2022-04-18 00:18:42+00:00,,0.0
2022-04-18 00:19:11+00:00,,0.0
2022-04-18 00:19:30+00:00,0.0,
2022-04-18 00:19:40+00:00,,0.0
2022-04-18 00:20:09+00:00,,0.0
2022-04-18 00:20:29+00:00,0.0,
2022-04-18 00:20:38+00:00,,0.0
2022-04-18 00:21:07+00:00,,0.0
2022-04-18 00:21:28+00:00,0.0,
2022-04-18 00:21:36+00:00,,0.0
2022-04-18 00:22:05+00:00,,0.0
2022-04-18 00:22:27+00:00,0.0,
2022-04-18 00:22:34+00:00,,0.0
2022-04-18 00:23:03+00:00,,0.0
2022-04-18 00:23:26+00:00,0.0,
2022-04-18 00:23:32+00:00,,0.0
2022-04-18 00:24:01+00:00,,0.0
2022-04-18 00:24:25+00:00,0.0,
2022-04-18 00:24:30+00:00,,0.0
2022-04-18 00:24:59+00:00,,0.0
2022-04-18 00:25:24+00:00,0.0,
2022-04-18 00:25:28+00:00,,0.0
2022-04-18 00:25:57+00:00,,0.0
2022-04-18 00:26:23+00:00,0.0,
2022-04-18 00:26:26+00:00,,0.0
2022-04-18 00:26:55+00:00,,0.0
2022-04-18 00:27:22+00:00,0.0,
2022-04-18 00:27:24+00:00,,0.0
2022-04-18 00:27:53+00:00,,0.0
2022-04-18 00:28:21+00:00,0.0,
2022-04-18 00:28:22+00:00,,0.0
2022-04-18 00:28:51+00:00,,0.0
2022-04-18 00:29:20+00:00,0.0,0.0
2022-04-18 00:29:49+00:00,,0.0
2022-04-18 00:30:18+00:00,,0.0
2022-04-18 00:30:19+00:00,0.0,
2022-04-18 00:30:47+00:00,,0.0
2022-04-18 00:31:16+00:00,,0.0
2022-04-18 00:31:18+00:00,0.0,
2022-04-18 00:31:45+00:00,,0.0
2022-04-18 00:32:14+00:00,,0.0
2022-04-18 00:32:17+00:00,0.0,
2022-04-18 00:32:43+00:00,,0.0
2022-04-18 00:33:12+00:00,,0.0
2022-04-18 00:33:16+00:00,0.0,
2022-04-18 00:33:41+00:00,,0.0
2022-04-18 00:34:10+00:00,,0.0
2022-04-18 00:34:15+00:00,0.0,
2022-04-18 00:34:39+00:00,,0.0
2022-04-18 00:35:08+00:00,,0.0
2022-04-18 00:35:14+00:00,0.0,
2022-04-18 00:35:37+00:00,,0.0
2022-04-18 00:36:06+00:00,,0.0
2022-04-18 00:36:13+00:00,0.0,
2022-04-18 00:36:35+00:00,,0.0
2022-04-18 00:37:04+00:00,,0.0
2022-04-18 00:37:12+00:00,0.0,
2022-04-18 00:37:33+00:00,,0.0
2022-04-18 00:38:02+00:00,,0.0
2022-04-18 00:38:11+00:00,0.0,
2022-04-18 00:38:31+00:00,,0.0
2022-04-18 00:39:00+00:00,,0.0
2022-04-18 00:39:10+00:00,0.0,
2022-04-18 00:39:29+00:00,,0.0
2022-04-18 00:39:58+00:00,,0.0
2022-04-18 00:40:09+00:00,0.0,
2022-04-18 00:40:27+00:00,,0.0
2022-04-18 00:40:56+00:00,,0.0
2022-04-18 00:41:08+00:00,0.0,
2022-04-18 00:41:25+00:00,,0.0
2022-04-18 00:41:54+00:00,,0.0
2022-04-18 00:42:07+00:00,0.0,
2022-04-18 00:42:23+00:00,,0.0
2022-04-18 00:42:52+00:00,,0.0
2022-04-18 00:43:06+00:00,0.0,
2022-04-18 00:43:21+00:00,,0.0
2022-04-18 00:43:50+00:00,,0.0
2022-04-18 00:44:06+00:00,0.0,
2022-04-18 00:44:19+00:00,,0.0
2022-04-18 00:44:48+00:00,,0.0
2022-04-18 00:45:05+00:00,0.0,
2022-04-18 00:45:17+00:00,,0.0
2022-04-18 00:45:46+00:00,,0.0
